Отчетный период;Федеральный округ РФ;Субъект РФ;Показатель;Мера измерения;Значение
Май 25;Сибирский ФО;Иркутская обл.;Административный персонал;Кл.;477
Февраль 25;Центральный ФО;г. Москва;Общее количество людей в ВУЗе;Кл.;1521
Март 25;Приволжский ФО;Республика Татарстан;Средний тариф банка;%;4.1
Май 25;Приволжский ФО;Нижегородская обл.;Объем транзакций;Руб.;593513.3
Февраль 25;Приволжский ФО;Самарская обл.;Общее количество людей в ВУЗе;Кл.;6481
Май 25;Северо-Западный ФО;Мурманская обл.;Объем транзакций;Руб.;231032.1
Март 25;Приволжский ФО;Самарская обл.;Студенты;Кл.;1995
Май 25;Центральный ФО;Московская обл.;Количество клиентов;Кл.;2272
Март 25;Северо-Западный ФО;Архангельская обл.;Доход банка;Руб.;67110.9
Март 25;Северо-Западный ФО;Мурманская обл.;Средний тариф банка;%;4.5
Май 25;Северо-Западный ФО;Архангельская обл.;Административный персонал;Кл.;293
Апрель 25;Приволжский ФО;Самарская обл.;Доля людей, питающихся в столовой;%;48
Январь 25;Приволжский ФО;Самарская обл.;Объем транзакций;Руб.;460281.0
Апрель 25;Уральский ФО;Челябинская обл.;Доля людей, питающихся в столовой;%;69
Февраль 25;Центральный ФО;Тверская обл.;Административный персонал;Кл.;261
Апрель 25;Северо-Западный ФО;Архангельская обл.;Количество клиентов;Кл.;2834
Февраль 25;Северо-Западный ФО;Мурманская обл.;Средний тариф банка;%;8.2
Апрель 25;Приволжский ФО;Республика Татарстан;Студенты;Кл.;4162
Февраль 25;Сибирский ФО;Новосибирская обл.;Административный персонал;Кл.;93
Январь 25;Центральный ФО;Тверская обл.;Административный персонал;Кл.;457
Февраль 25;Северо-Западный ФО;Мурманская обл.;Общее количество людей в ВУЗе;Кл.;3746
Январь 25;Северо-Западный ФО;Ленинградская обл.;Средняя стоимость обеда;Руб.;235.7
Март 25;Сибирский ФО;Красноярский край;Количество клиентов;Кл.;4684
Февраль 25;Уральский ФО;Челябинская обл.;Средний тариф банка;%;8.1
Февраль 25;Уральский ФО;Тюменская обл.;Административный персонал;Кл.;350
Апрель 25;Приволжский ФО;Республика Татарстан;Количество клиентов;Кл.;808
Февраль 25;Уральский ФО;Челябинская обл.;Доход банка;Руб.;66684.7
Февраль 25;Уральский ФО;Тюменская обл.;Средний тариф банка;%;3.3
Январь 25;Приволжский ФО;Самарская обл.;Студенты;Кл.;5154
Май 25;Приволжский ФО;Нижегородская обл.;Доход банка;Руб.;14077.4
Май 25;Северо-Западный ФО;Ленинградская обл.;Доход банка;Руб.;18819.0
Май 25;Уральский ФО;Свердловская обл.;Средний тариф банка;%;9.1
Февраль 25;Уральский ФО;Челябинская обл.;Доля людей, питающихся в столовой;%;37
Январь 25;Центральный ФО;г. Москва;Доход банка;Руб.;82987.6
Апрель 25;Центральный ФО;Московская обл.;Студенты;Кл.;4221
Май 25;Северо-Западный ФО;Ленинградская обл.;Административный персонал;Кл.;237
Март 25;Сибирский ФО;Иркутская обл.;Средний тариф банка;%;8.7
Январь 25;Уральский ФО;Челябинская обл.;Доля людей, питающихся в столовой;%;66
Май 25;Уральский ФО;Тюменская обл.;Средний тариф банка;%;9.5
Апрель 25;Сибирский ФО;Иркутская обл.;Студенты;Кл.;6401
Май 25;Уральский ФО;Челябинская обл.;Доля людей, питающихся в столовой;%;87
Апрель 25;Приволжский ФО;Самарская обл.;Объем транзакций;Руб.;118795.6
Апрель 25;Уральский ФО;Тюменская обл.;Количество клиентов;Кл.;2194
Март 25;Центральный ФО;г. Москва;Общее количество людей в ВУЗе;Кл.;2252
Апрель 25;Северо-Западный ФО;Мурманская обл.;Административный персонал;Кл.;200
Май 25;Центральный ФО;Тверская обл.;Административный персонал;Кл.;254
Январь 25;Приволжский ФО;Республика Татарстан;Доход банка;Руб.;45990.5
Май 25;Сибирский ФО;Новосибирская обл.;Средняя стоимость обеда;Руб.;162.3
Март 25;Сибирский ФО;Новосибирская обл.;Объем транзакций;Руб.;858342.5
Март 25;Приволжский ФО;Республика Татарстан;Доля людей, питающихся в столовой;%;42
Февраль 25;Уральский ФО;Тюменская обл.;Средняя стоимость обеда;Руб.;179.2
Январь 25;Центральный ФО;г. Москва;Объем транзакций;Руб.;468021.4
Февраль 25;Сибирский ФО;Новосибирская обл.;Доход банка;Руб.;65005.8
Январь 25;Сибирский ФО;Красноярский край;Количество клиентов;Кл.;608
Апрель 25;Центральный ФО;г. Москва;Количество клиентов;Кл.;3899
Январь 25;Сибирский ФО;Иркутская обл.;Доля людей, питающихся в столовой;%;76
Апрель 25;Приволжский ФО;Республика Татарстан;Доля людей, питающихся в столовой;%;39
Май 25;Сибирский ФО;Красноярский край;Средний тариф банка;%;8.9
Май 25;Сибирский ФО;Новосибирская обл.;Административный персонал;Кл.;107
Май 25;Северо-Западный ФО;Мурманская обл.;Количество клиентов;Кл.;4232
Февраль 25;Центральный ФО;г. Москва;Средняя стоимость обеда;Руб.;386.9
Март 25;Северо-Западный ФО;Архангельская обл.;Количество клиентов;Кл.;3594
Май 25;Центральный ФО;Московская обл.;Доля людей, питающихся в столовой;%;87
Апрель 25;Северо-Западный ФО;Архангельская обл.;Студенты;Кл.;6673
Январь 25;Северо-Западный ФО;Ленинградская обл.;Объем транзакций;Руб.;284627.5
Январь 25;Приволжский ФО;Нижегородская обл.;Студенты;Кл.;6861
Февраль 25;Северо-Западный ФО;Мурманская обл.;Объем транзакций;Руб.;912254.4
Май 25;Сибирский ФО;Красноярский край;Объем транзакций;Руб.;527026.0
Апрель 25;Сибирский ФО;Красноярский край;Доход банка;Руб.;36023.1
Январь 25;Центральный ФО;г. Москва;Административный персонал;Кл.;302
Апрель 25;Центральный ФО;г. Москва;Общее количество людей в ВУЗе;Кл.;8494
Февраль 25;Сибирский ФО;Новосибирская обл.;Студенты;Кл.;2220
Январь 25;Северо-Западный ФО;Архангельская обл.;Студенты;Кл.;4112
Январь 25;Сибирский ФО;Иркутская обл.;Административный персонал;Кл.;348
Апрель 25;Северо-Западный ФО;Мурманская обл.;Средний тариф банка;%;3.3
Март 25;Северо-Западный ФО;Архангельская обл.;Средний тариф банка;%;6.6
Март 25;Сибирский ФО;Новосибирская обл.;Студенты;Кл.;6778
Январь 25;Уральский ФО;Челябинская обл.;Количество клиентов;Кл.;1977
Апрель 25;Сибирский ФО;Иркутская обл.;Административный персонал;Кл.;202
Май 25;Центральный ФО;г. Москва;Объем транзакций;Руб.;339375.6
Апрель 25;Северо-Западный ФО;Мурманская обл.;Количество клиентов;Кл.;4337
Январь 25;Центральный ФО;г. Москва;Количество клиентов;Кл.;3638
Февраль 25;Приволжский ФО;Самарская обл.;Административный персонал;Кл.;134
Январь 25;Приволжский ФО;Нижегородская обл.;Средняя стоимость обеда;Руб.;388.3
Январь 25;Приволжский ФО;Республика Татарстан;Количество клиентов;Кл.;4082
Март 25;Сибирский ФО;Красноярский край;Административный персонал;Кл.;357
Апрель 25;Центральный ФО;Тверская обл.;Средний тариф банка;%;3.0
Январь 25;Центральный ФО;г. Москва;Доля людей, питающихся в столовой;%;32
Январь 25;Уральский ФО;Свердловская обл.;Административный персонал;Кл.;378
Май 25;Приволжский ФО;Нижегородская обл.;Количество клиентов;Кл.;3461
Март 25;Центральный ФО;Московская обл.;Количество клиентов;Кл.;1898
Март 25;Центральный ФО;Московская обл.;Общее количество людей в ВУЗе;Кл.;5239
Апрель 25;Приволжский ФО;Нижегородская обл.;Общее количество людей в ВУЗе;Кл.;1253
Февраль 25;Центральный ФО;Тверская обл.;Общее количество людей в ВУЗе;Кл.;3058
Январь 25;Приволжский ФО;Самарская обл.;Доход банка;Руб.;79539.1
Январь 25;Северо-Западный ФО;Мурманская обл.;Средний тариф банка;%;9.6
Февраль 25;Северо-Западный ФО;Мурманская обл.;Доля людей, питающихся в столовой;%;30
Май 25;Центральный ФО;Московская обл.;Административный персонал;Кл.;113
Январь 25;Приволжский ФО;Республика Татарстан;Общее количество людей в ВУЗе;Кл.;1664
Май 25;Уральский ФО;Челябинская обл.;Средняя стоимость обеда;Руб.;248.9
Май 25;Приволжский ФО;Республика Татарстан;Средний тариф банка;%;7.3
Январь 25;Приволжский ФО;Самарская обл.;Средний тариф банка;%;4.3
Январь 25;Уральский ФО;Челябинская обл.;Средняя стоимость обеда;Руб.;273.6
Апрель 25;Уральский ФО;Челябинская обл.;Административный персонал;Кл.;293
Январь 25;Приволжский ФО;Нижегородская обл.;Административный персонал;Кл.;106
Май 25;Сибирский ФО;Новосибирская обл.;Количество клиентов;Кл.;703
Январь 25;Северо-Западный ФО;Ленинградская обл.;Доля людей, питающихся в столовой;%;83
Март 25;Сибирский ФО;Новосибирская обл.;Количество клиентов;Кл.;1501
Январь 25;Уральский ФО;Челябинская обл.;Средний тариф банка;%;6.3
Май 25;Северо-Западный ФО;Ленинградская обл.;Объем транзакций;Руб.;438872.6
Март 25;Уральский ФО;Свердловская обл.;Доля людей, питающихся в столовой;%;78
Апрель 25;Приволжский ФО;Республика Татарстан;Объем транзакций;Руб.;693132.0
Февраль 25;Уральский ФО;Свердловская обл.;Доля людей, питающихся в столовой;%;60
Январь 25;Северо-Западный ФО;Мурманская обл.;Доход банка;Руб.;60582.9
Январь 25;Центральный ФО;г. Москва;Средний тариф банка;%;2.3
Февраль 25;Приволжский ФО;Нижегородская обл.;Доля людей, питающихся в столовой;%;36
Апрель 25;Центральный ФО;Московская обл.;Доход банка;Руб.;25673.5
Апрель 25;Сибирский ФО;Иркутская обл.;Количество клиентов;Кл.;4475
Апрель 25;Сибирский ФО;Новосибирская обл.;Административный персонал;Кл.;118
Март 25;Уральский ФО;Челябинская обл.;Объем транзакций;Руб.;858929.4
Февраль 25;Центральный ФО;Московская обл.;Административный персонал;Кл.;187
Май 25;Сибирский ФО;Новосибирская обл.;Доход банка;Руб.;64203.0
Январь 25;Уральский ФО;Свердловская обл.;Студенты;Кл.;3523
Апрель 25;Северо-Западный ФО;Ленинградская обл.;Объем транзакций;Руб.;486450.2
Май 25;Сибирский ФО;Красноярский край;Количество клиентов;Кл.;1210
Февраль 25;Приволжский ФО;Республика Татарстан;Общее количество людей в ВУЗе;Кл.;4461
Март 25;Уральский ФО;Свердловская обл.;Средний тариф банка;%;1.3
Февраль 25;Сибирский ФО;Красноярский край;Доход банка;Руб.;61032.0
Февраль 25;Приволжский ФО;Нижегородская обл.;Студенты;Кл.;2913
Февраль 25;Центральный ФО;Тверская обл.;Средняя стоимость обеда;Руб.;281.0
Январь 25;Уральский ФО;Челябинская обл.;Административный персонал;Кл.;306
Март 25;Уральский ФО;Свердловская обл.;Доход банка;Руб.;29943.8
Март 25;Сибирский ФО;Новосибирская обл.;Доля людей, питающихся в столовой;%;88
Апрель 25;Северо-Западный ФО;Мурманская обл.;Общее количество людей в ВУЗе;Кл.;3108
Март 25;Сибирский ФО;Новосибирская обл.;Средняя стоимость обеда;Руб.;260.8
Май 25;Центральный ФО;г. Москва;Доля людей, питающихся в столовой;%;60
Март 25;Приволжский ФО;Республика Татарстан;Студенты;Кл.;4845
Февраль 25;Сибирский ФО;Иркутская обл.;Доля людей, питающихся в столовой;%;74
Май 25;Приволжский ФО;Самарская обл.;Доход банка;Руб.;28944.9
Март 25;Уральский ФО;Тюменская обл.;Средний тариф банка;%;7.2
Февраль 25;Северо-Западный ФО;Ленинградская обл.;Студенты;Кл.;7997
Май 25;Приволжский ФО;Республика Татарстан;Количество клиентов;Кл.;3721
Март 25;Северо-Западный ФО;Архангельская обл.;Доля людей, питающихся в столовой;%;76
Январь 25;Сибирский ФО;Красноярский край;Общее количество людей в ВУЗе;Кл.;3806
Январь 25;Уральский ФО;Тюменская обл.;Общее количество людей в ВУЗе;Кл.;1034
Май 25;Приволжский ФО;Самарская обл.;Доля людей, питающихся в столовой;%;58
Январь 25;Приволжский ФО;Самарская обл.;Административный персонал;Кл.;61
Январь 25;Сибирский ФО;Красноярский край;Объем транзакций;Руб.;117203.6
Март 25;Уральский ФО;Тюменская обл.;Доля людей, питающихся в столовой;%;59
Февраль 25;Уральский ФО;Челябинская обл.;Общее количество людей в ВУЗе;Кл.;6851
Март 25;Северо-Западный ФО;Архангельская обл.;Общее количество людей в ВУЗе;Кл.;3498
Апрель 25;Уральский ФО;Челябинская обл.;Объем транзакций;Руб.;646686.6
Май 25;Уральский ФО;Тюменская обл.;Доля людей, питающихся в столовой;%;62
Март 25;Приволжский ФО;Нижегородская обл.;Общее количество людей в ВУЗе;Кл.;8593
Март 25;Уральский ФО;Свердловская обл.;Средняя стоимость обеда;Руб.;392.7
Январь 25;Сибирский ФО;Новосибирская обл.;Средняя стоимость обеда;Руб.;190.6
Май 25;Северо-Западный ФО;Ленинградская обл.;Средний тариф банка;%;2.8
Апрель 25;Сибирский ФО;Красноярский край;Студенты;Кл.;4532
Февраль 25;Приволжский ФО;Республика Татарстан;Административный персонал;Кл.;339
Март 25;Приволжский ФО;Нижегородская обл.;Студенты;Кл.;4605
